time,vehicles
5942,0
5948,0
5954,0
5960,0
5966,0
5972,0
5978,0
5984,0
6000,0
6006,0
6012,0
6018,0
6024,0
6030,0
6036,0
6042,0
6048,0
6054,0
6060,0
6066,0
6072,0
6078,0
6084,0
6100,0
6106,0
6112,0
6118,0
6124,0
6130,0
6136,0
6142,0
6148,0
6154,0
6160,0
6166,0
6172,0
6178,0
6184,1
6200,0
6206,0
6212,0
6218,0
6224,0
6230,0
6236,0
6242,0
6248,0
6254,0
6260,0
6266,0
6272,0
6278,0
6284,0
6300,1
6306,0
6312,0
6318,0
6324,0
6330,0
6336,0
6342,0
6348,0
6354,0
6360,0
6366,0
6372,0
6378,0
6384,0
6400,0
6406,0
6412,0
6418,0
6424,0
6430,0
6436,0
6442,0
6448,0
6454,1
6460,0
6466,0
6472,0
6478,0
6484,0
6500,0
6506,0
6512,0
6518,0
6524,0
6530,0
6536,0
6542,0
6548,0
6554,0
6560,0
6566,0
6572,0
6578,0
6584,0
6600,0
6606,0
6612,0
6618,0
6624,0
6630,0
6636,0
6642,0
6648,0
6654,0
6660,0
6666,0
6672,0
6678,0
6684,0
6700,0
6706,0
6712,0
6718,0
6724,0
6730,0
6736,0
6742,0
6748,0
6754,0
6760,0
6766,0
6772,0
6778,0
6784,0
6800,0
6806,0
6812,0
6818,0
6824,0
6830,0
6836,0
6842,0
6848,0
6854,0
6860,0
6866,0
6872,0
6878,0
6884,0
6900,0
6906,0
6912,0
6918,0
6924,0
6930,0
6936,0
6942,0
